DATE,No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5_Category,PM10_Category,TEMP_Category,PRES_Category
2013-03-01,12.5,7.541666666666667,12.375,15.956521739130435,12.35,339.1304347826087,78.21739130434783,0.016666666666666646,1023.7833333333333,-21.941666666666666,0.0,2.9333333333333336,Baik,Baik,Ideal,Tidak Ideal
2013-03-02,36.5,32.708333333333336,41.375,40.0112,49.8534875,765.1739130434783,35.00501666666667,-0.9916666666666667,1023.6875,-16.241666666666667,0.0,1.575,Baik,Baik,Tidak Ideal,Tidak Ideal
2013-03-03,60.5,57.625,80.75,38.291666666666664,48.04347826086956,945.8333333333334,27.833333333333332,3.9125,1011.3874999999999,-12.475,0.0,1.7708333333333333,Sedang,Sedang,Ideal,Ideal
2013-03-04,84.5,29.630493096068715,45.875,25.708333333333332,35.125,524.9583333333334,55.916666666666664,7.108333333333333,1014.4875000000001,-13.1,0.0,1.8875,Baik,Baik,Ideal,Ideal
2013-03-05,108.5,80.27700985996697,121.33333333333333,52.0,68.47826086956522,1345.3181818181818,87.95833333333333,5.683333333333334,1007.9208333333332,-8.645833333333334,0.0,1.325,Buruk,Sedang,Ideal,Ideal
2013-03-06,132.5,167.625,195.375,65.79166666666667,86.58333333333333,2095.625,80.375,5.466666666666666,1004.475,-5.595833333333334,0.0,1.2375,Sangat Buruk,Buruk,Ideal,Ideal
2013-03-07,156.5,206.41666666666666,188.00587734904386,64.0,121.66666666666667,2466.375,63.583333333333336,7.629166666666666,999.4,-3.9916666666666667,0.0,1.3333333333333333,Sangat Buruk,Buruk,Ideal,Tidak Ideal
2013-03-08,180.5,194.875,177.5375,58.55776666666666,88.81046250000001,2303.913043478261,85.79166666666667,8.816666666666666,996.5166666666668,-2.7541666666666664,0.0,2.316666666666667,Sangat Buruk,Buruk,Ideal,Tidak Ideal
2013-03-09,204.5,52.125,142.75,29.565217391304348,33.43478260869565,804.3478260869565,102.5,6.195833333333333,1001.3000000000001,-11.9,0.0,3.970833333333333,Sedang,Sedang,Ideal,Ideal
2013-03-10,228.5,43.625,68.91666666666667,32.25,46.583333333333336,762.5,90.54166666666667,3.733333333333333,1017.3249999999999,-14.141666666666666,0.0,1.7416666666666665,Sedang,Sedang,Ideal,Ideal
2013-03-11,252.5,119.54166666666667,141.875,73.0,72.375,1295.6666666666667,70.95833333333333,4.879166666666666,1010.8125,-8.554166666666665,0.0,1.3958333333333333,Buruk,Sedang,Ideal,Ideal
2013-03-12,276.5,106.54166666666667,104.66666666666667,29.833333333333332,81.75,1208.1666666666667,41.875,4.9375,1005.8583333333332,-0.7083333333333334,0.05833333333333333,1.6291666666666667,Buruk,Sedang,Ideal,Ideal
2013-03-13,300.5,10.583333333333334,16.458333333333332,15.083333333333334,19.25,322.72727272727275,85.45833333333333,2.4458333333333333,1019.5625,-13.341666666666667,0.0,2.7458333333333336,Baik,Baik,Ideal,Ideal
2013-03-14,324.5,108.0,120.79166666666667,32.458333333333336,78.20833333333333,1470.5833333333333,79.25,1.9958333333333333,1018.5666666666666,-4.954166666666667,0.0,1.5625,Buruk,Sedang,Ideal,Ideal
2013-03-15,348.5,220.83333333333334,223.95833333333334,49.583333333333336,102.04166666666667,2021.4782608695652,45.375,4.204166666666667,1011.4250000000001,-2.3000000000000003,0.0,1.1583333333333334,Sangat Buruk,Buruk,Ideal,Ideal
2013-03-16,372.5,236.0,223.91666666666666,48.375,83.08333333333333,2038.9130434782608,77.70833333333333,8.200000000000001,1013.6291666666666,-0.9583333333333334,0.0,1.7458333333333333,Sangat Buruk,Buruk,Ideal,Ideal
2013-03-17,396.5,280.2916666666667,285.9166666666667,65.83333333333333,105.54166666666667,2521.4347826086955,99.66666666666667,8.091666666666667,998.9708333333333,1.1541666666666666,0.0,1.3666666666666665,Sangat Buruk,Sangat Buruk,Ideal,Tidak Ideal
2013-03-18,420.5,95.41666666666667,115.875,10.25,32.708333333333336,799.9166666666666,87.79166666666667,7.283333333333334,998.1833333333334,-10.775,0.0,3.6958333333333333,Buruk,Sedang,Ideal,Tidak Ideal
2013-03-19,444.5,29.458333333333332,14.958333333333334,4.375,29.208333333333332,479.1666666666667,40.0,0.9666666666666667,1005.9625,-0.15416666666666667,0.33749999999999997,2.4166666666666665,Baik,Baik,Ideal,Ideal
2013-03-20,468.5,35.75,32.958333333333336,6.625,33.083333333333336,591.6666666666666,54.625,0.43750000000000006,1013.7958333333332,-4.208333333333333,0.14583333333333334,1.8916666666666666,Sedang,Baik,Ideal,Ideal
2013-03-21,492.5,122.16666666666667,129.875,20.541666666666668,62.5,1369.3478260869565,28.91304347826087,3.0708333333333333,1001.9833333333332,-3.1166666666666667,0.0,1.4375,Buruk,Sedang,Ideal,Ideal
2013-03-22,516.5,64.875,107.0,20.125,33.791666666666664,637.5,59.416666666666664,6.2875000000000005,1008.5833333333334,-8.466666666666667,0.0,2.9916666666666667,Sedang,Sedang,Ideal,Ideal
2013-03-23,540.5,40.0,52.541666666666664,28.666666666666668,28.22222222222222,795.8333333333334,43.75,4.079166666666667,1005.7041666666668,-8.866666666666667,0.0,2.4125,Sedang,Sedang,Ideal,Ideal
2013-03-24,564.5,11.916666666666666,20.75,5.791666666666667,12.5,284.2105263157895,69.78435833333333,3.3625000000000003,1013.2125,-13.745833333333332,0.0,2.158333333333333,Baik,Baik,Ideal,Ideal
2013-03-25,588.5,91.95833333333333,119.29166666666667,32.7022,6.8396684210526315,2061.875,35.0228347826087,3.716666666666667,1012.3208333333333,-7.166666666666667,0.0,1.7249999999999999,Buruk,Sedang,Ideal,Ideal
2013-03-26,612.5,182.125,210.33333333333334,32.333333333333336,5.857142857142857,1827.0454545454545,22.359858333333335,5.841666666666666,1004.6208333333334,-2.6041666666666665,0.0,1.4666666666666668,Sangat Buruk,Buruk,Ideal,Ideal
2013-03-27,636.5,94.0,135.79877200785526,11.583333333333334,10.181818181818182,1426.0,56.3016,10.104166666666666,1002.35,-6.2124999999999995,0.0,3.2125,Buruk,Sedang,Ideal,Ideal
2013-03-28,660.5,19.333333333333332,38.708333333333336,7.583333333333333,19.5,795.8333333333334,78.125,6.541666666666667,1012.1166666666667,-15.35,0.0,2.525,Baik,Baik,Ideal,Ideal
2013-03-29,684.5,46.833333333333336,80.70833333333333,23.541666666666668,35.869565217391305,918.1363636363636,50.54580869565217,4.704166666666667,1013.3166666666666,-9.991666666666667,0.0,1.7541666666666667,Sedang,Sedang,Ideal,Ideal
2013-03-30,708.5,81.0,126.29166666666667,59.583333333333336,39.416666666666664,1499.9166666666667,55.625,5.966666666666666,1013.5916666666667,-5.216666666666667,0.0,2.275,Buruk,Sedang,Ideal,Ideal
2013-03-31,732.5,151.91666666666666,181.625,25.208333333333332,39.625,1024.9583333333333,25.708333333333332,4.720833333333333,1010.1208333333334,1.5,0.0,1.2874999999999999,Sangat Buruk,Buruk,Ideal,Ideal
2013-04-01,756.5,129.45833333333334,139.75,20.083333333333332,26.958333333333332,1129.0416666666667,54.458333333333336,8.704166666666667,1008.4416666666666,-3.375,0.0,2.6999999999999997,Buruk,Sedang,Ideal,Ideal
2013-04-02,780.5,77.25,116.375,21.166666666666668,40.041666666666664,990.8636363636364,70.79406956521738,8.720833333333333,1008.3000000000001,-6.5625,0.0,1.8041666666666665,Buruk,Sedang,Ideal,Ideal
2013-04-03,804.5,105.0,184.17916666666667,30.333333333333332,36.916666666666664,1108.5652173913043,80.67755,11.65,1003.5041666666666,-2.5791666666666666,0.0,2.6916666666666664,Buruk,Buruk,Ideal,Ideal
2013-04-04,828.5,59.0,86.25,40.791666666666664,37.333333333333336,1574.7916666666667,41.458333333333336,7.4125000000000005,1005.8541666666666,0.19999999999999998,0.4375,1.6708333333333334,Sedang,Sedang,Ideal,Ideal
2013-04-05,852.5,44.666666666666664,33.583333333333336,8.916666666666666,15.764705882352942,808.0416666666666,60.208333333333336,8.0625,1009.6,-2.483333333333333,0.024999999999999998,3.3708333333333336,Sedang,Baik,Ideal,Ideal
2013-04-06,876.5,14.666666666666666,29.916666666666668,4.541666666666667,20.352941176470587,465.2173913043478,63.47826086956522,6.8500000000000005,1007.5749999999999,-8.320833333333333,0.0,1.9291666666666665,Baik,Baik,Ideal,Ideal
2013-04-07,900.5,67.79166666666667,113.95833333333333,38.875,40.86363636363637,1237.4166666666667,47.875,8.045833333333333,999.4333333333334,-2.7541666666666664,0.0,2.225,Sedang,Sedang,Ideal,Tidak Ideal
2013-04-08,924.5,18.625,66.29166666666667,3.4166666666666665,13.333333333333334,350.0,90.875,8.129166666666666,1003.1041666666666,-11.549999999999999,0.0,5.470833333333334,Baik,Sedang,Ideal,Ideal
2013-04-09,948.5,11.333333333333334,17.25,3.0833333333333335,3.4444444444444446,412.5,103.33333333333333,7.641666666666667,1010.7458333333334,-11.195833333333333,0.0,3.5375,Baik,Baik,Ideal,Ideal
2013-04-10,972.5,9.458333333333334,12.0,3.7142666666666666,27.625,271.42857142857144,88.81090434782608,6.6000000000000005,1010.3458333333333,-10.25,0.0,2.8249999999999997,Baik,Baik,Ideal,Ideal
2013-04-11,996.5,15.401098619213743,42.875,5.086956521739131,59.17664166666666,385.7142857142857,66.785775,8.408333333333333,1009.2375000000001,-10.916666666666666,0.0,2.3833333333333333,Baik,Baik,Ideal,Ideal
